full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
785-32,785,32,54,0.188,White,0.037,0.019,0.000,0.019,0.019,0.019,0.000,0.000,0.926,2,63.000,4.243,63.0,60,66,1,87.000,NA,87.0,87,87,NA,NA,NA,NA,NA,NA,1,36.000,NA,36.0,36,36,1,58.000,NA,58.0,58,58,1,96.000,NA,96.0,96,96,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,50,89.980,14.057,96.0,40,100,33.833,5.762,35.0,54,22,50,0.000,4.000,1.441,4.0,54.000,1,7,6.241,0.823,6.0,54,4,7
785-669,785,669,52,0.267,Black,0.635,0.019,0.173,0.096,0.000,0.154,0.038,0.115,0.250,33,63.848,24.076,63.0,19,100,1,5.000,NA,5.0,5,5,9,52.333,11.906,50.0,31,70,5,73.000,19.339,76.0,51,100,NA,NA,NA,NA,NA,NA,8,63.250,15.582,69.5,37,80,2,86.000,19.799, 86.0 ,72,100,6,70.667,30.389,78.0,20,100,13,43.923,20.402,50.0,10,82,34.096,5.399,34.0,52,21,55,0.019,4.346,1.558,4.0,52.000,1,7,6.212,0.893,6.5,52,4,7
785-1407,785,1407,52,0.143,Black,0.942,0.000,0.038,0.058,0.000,0.038,0.000,0.077,0.038,49,77.388,17.870,80.0,32,100,NA,NA,NA,NA,NA,NA,2,41.500,30.406,41.5,20,63,3,38.333,2.082,39.0,36,40,NA,NA,NA,NA,NA,NA,2,59.500,0.707,59.5,59,60,NA,NA,NA, NA ,NA,NA,4,51.500,13.229,46.5,42,71,2,17.500,14.849,17.5,7,28,32.346,4.878,32.5,52,24,45,0.000,4.808,1.155,5.0,52.000,2,7,6.038,0.839,6.0,52,4,7
1304-28,1304,28,52,0.173,Multiple,0.481,0.019,0.423,0.038,0.096,0.115,0.077,0.077,0.173,25,58.280,21.757,62.0,15,90,1,70.000,NA,70.0,70,70,22,72.273,23.082,74.0,20,100,2,50.000,14.142,50.0,40,60,5,54.200,21.568,56.0,20,73,6,68.000,21.392,70.0,38,100,4,48.250,29.170, 53.5 ,10,76,4,63.750,20.467,60.0,43,92,9,56.667,15.411,53.0,30,81,26.481,3.358,26.0,52,20,35,1.000,6.000,0.863,6.0,52.000,4,7,5.846,0.802,6.0,52,4,7
1304-44,1304,44,55,0.250,White,0.018,0.000,0.018,0.018,0.000,0.000,0.000,0.000,0.982,1,25.000,NA,25.0,25,25,NA,NA,NA,NA,NA,NA,1,50.000,NA,50.0,50,50,1,20.000,NA,20.0,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,54,92.370,8.753,94.0,62,100,25.709,3.436,25.0,55,19,36,1.000,5.836,1.032,6.0,55.000,3,7,5.600,0.894,6.0,55,3,7
1304-2320,1304,2320,52,0.071,Asian,0.019,0.385,0.058,0.000,0.115,0.135,0.423,0.019,0.269,1,25.000,NA,25.0,25,25,20,61.600,20.669,65.5,23,93,3,50.000,10.000,50.0,40,60,NA,NA,NA,NA,NA,NA,6,65.000,28.107,60.0,20,100,7,59.000,16.000,61.0,40,83,22,61.091,20.630, 67.0 ,10,95,1,56.000,NA,56.0,56,56,14,52.071,23.698,51.5,12,90,27.635,3.961,26.5,52,22,40,1.000,5.692,1.076,6.0,52.000,1,7,5.942,0.669,6.0,52,4,7
1304-3345,1304,3345,51,0.267,Multiple,0.059,0.098,0.471,0.039,0.059,0.137,0.000,0.039,0.569,3,60.333,10.504,60.0,50,71,5,47.000,33.838,50.0,15,100,24,70.333,20.299,79.0,25,100,2,40.000,29.698,40.0,19,61,3,43.333,21.079,49.0,20,61,7,51.857,23.906,52.0,10,81,NA,NA,NA, NA ,NA,NA,2,20.000,14.142,20.0,10,30,29,64.759,21.524,68.0,10,100,27.078,3.918,27.0,51,16,35,0.980,5.627,1.280,6.0,51.000,1,7,5.529,1.007,6.0,51,3,7
1304-3876,1304,3876,53,0.059,Black,0.830,0.019,0.038,0.019,0.038,0.151,0.075,0.057,0.057,44,75.977,19.266,80.0,30,100,1,39.000,NA,39.0,39,39,2,44.500,6.364,44.5,40,49,1,64.000,NA,64.0,64,64,2,68.500,20.506,68.5,54,83,8,58.125,22.061,59.5,16,85,4,41.250,20.156, 35.0 ,25,70,3,60.000,34.044,53.0,30,97,3,39.000,20.809,50.0,15,52,29.925,4.980,30.0,53,21,41,1.000,5.830,1.156,6.0,53.000,2,7,5.642,0.879,6.0,53,4,7
1365-27,1365,27,53,0.125,White,0.000,0.019,0.019,0.019,0.000,0.000,0.000,0.000,0.981,NA,NA,NA,NA,NA,NA,1,65.000,NA,65.0,65,65,1,36.000,NA,36.0,36,36,1,40.000,NA,40.0,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,52,90.500,15.871,99.0,31,100,33.340,4.715,33.0,53,25,45,0.981,5.151,1.262,5.0,53.000,1,7,6.264,0.923,6.0,53,3,7
1365-28,1365,28,56,0.188,Black,0.732,0.000,0.339,0.071,0.054,0.054,0.000,0.000,0.304,41,60.390,26.280,60.0,10,100,NA,NA,NA,NA,NA,NA,19,64.105,22.048,68.0,15,100,4,58.250,15.108,56.5,42,78,3,48.000,45.133,25.0,19,100,3,59.000,17.578,52.0,46,79,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,17,43.824,17.285,40.0,10,75,34.857,5.303,35.0,56,25,45,1.000,5.518,1.112,6.0,56.000,1,7,6.286,1.039,7.0,56,2,7
